Company_Number,SYS_RESPNUM,SURVEY_POLE,SURVEY_CONTACT_FUNCTION,SURVEY_VALUE_CHAIN,MAXDIFF: Material selection support,MAXDIFF: Processing support,MAXDIFF: Application development support,MAXDIFF: Total system cost reduction,MAXDIFF: Efficient and reliable ordering process,MAXDIFF: Delivery &amp; inventory management,MAXDIFF: Low material price,MAXDIFF: Formula based or fixed material price,MAXDIFF: Material coloring solutions,MAXDIFF: Account manager relationship,MAXDIFF: Collaboration during your innovation process,MAXDIFF: Collaboration for growth,MAXDIFF: Support towards your sustainability goals,MAXDIFF: Material quality,MAXDIFF: Supplier expertise of your industry,MAXDIFF: Global service and operations,MAXDIFF: Local service and operations,MAXDIFF: Business services,"MAXDIFF: Credit limit, financing and payment terms",MAXDIFF: Broad material portfolio,Willing to Changing suppliers,Willing to Give more business,Willing to Recommend to others,Willing to Specify as supplier of choice,Willing to Pay for consulting services,Willing to Pay price premium,Changed material suppliers in past,Given more business in past,Recommended to others in past,Specify as supplier of choice in past,Paid for consulting services in past,Paid premium in past,Will - Order large quantity for lower price,Will accept - No sales rep for lower price,Will accept - Cancellation fees for lower price,Will accept - Longer lead times for lower price,Will accept - Broader materials specs for lower price,Will - Use own transportation for lower price,Will - Allocate more spending to supplier for lower price,Will - Give up support for lower price,Price Importance,Quality and service importance
1005,70,EUR,SUPPLY CHAIN,OEM,5.569924,3.517487,3.644166,12.199364,10.273756,6.862418,13.499889,0.102205,0.572333,10.220958,5.091938,1.44137,1.780135,13.831782,0.097983,9.474027,0.366869,0.180951,0.170598,1.101846,5,4,5,4,1,1,1,1,1,1,0,0,4,1,1,2,2,1,1,1,65,35
1005,1116,AMR,SUPPLY CHAIN,Other,13.103719,0.514328,2.895876,13.648253,7.354521,4.531394,13.396991,6.098826,3.93762,6.434514,5.310455,0.674219,0.910044,12.135659,4.646177,0.065366,0.436214,0.390678,3.495992,0.019156,2,5,5,5,4,2,1,1,1,1,0,0,4,2,2,2,1,4,5,1,60,40
1005,1499,PAC,ENGINEERING/DESIGN,OEM,12.122787,5.701233,5.127058,10.643757,1.264992,5.648229,13.937206,3.211691,0.014332,10.389479,2.237985,2.114576,2.105246,13.500392,0.319601,1.132566,6.323957,3.813003,0.326533,0.065375,4,3,3,3,2,3,1,0,0,0,0,0,4,2,2,2,4,4,3,2,50,50
1005,2674,EUR,ENGINEERING/DESIGN,OEM,11.006562,2.300984,7.297947,6.815055,0.271146,4.753887,12.48257,11.066606,0.024871,3.722871,11.907242,1.12949,9.038206,12.824032,0.42508,0.444496,2.283418,0.395047,0.867692,0.942798,4,4,4,4,2,3,1,1,1,0,0,0,4,3,3,2,2,3,4,2,60,40
1005,3346,EUR,PURCHASING,Molder,6.944208,10.723777,5.256296,12.236605,6.554705,6.846158,7.560787,12.059086,1.054304,0.056138,3.699492,0.068422,0.713505,11.084382,9.346762,0.322417,4.330708,0.092799,0.035306,1.014143,4,4,4,3,2,3,1,1,0,1,0,0,2,2,3,4,4,2,4,3,50,50
1005,3639,EUR,ENGINEERING/DESIGN,OEM,10.871244,12.20255,12.558106,3.749203,2.264882,1.951408,0.856461,0.127199,0.530012,10.772047,12.775248,0.288709,6.284096,12.901731,5.230339,0.04617,5.971687,0.397975,0.006673,0.21426,4,5,4,4,3,2,1,1,1,1,1,0,3,1,2,1,3,2,3,1,40,60
1005,3841,EUR,ENGINEERING/DESIGN,Engineering,10.902807,11.181575,11.510571,7.949128,1.543716,0.846133,3.107854,1.323699,0.041561,7.222261,12.27637,0.158102,5.190812,12.565959,7.695653,5.359246,0.280442,0.785719,0.00621,0.052182,4,4,4,3,2,2,1,0,1,0,1,1,4,3,4,3,2,4,3,1,50,50
1006,2204,EUR,ENGINEERING/DESIGN,OEM,11.427656,11.502887,9.95858,5.947525,0.020489,0.088499,3.006058,0.235124,0.244326,10.399164,10.479309,0.599319,3.31008,7.740593,9.257807,6.415528,2.655723,0.226952,0.002096,6.482286,3,3,2,3,2,3,1,0,0,1,0,0,3,3,3,3,3,3,3,3,50,50
1006,3551,EUR,MANAGEMENT (SENIOR),Engineering,10.318051,8.714546,8.766429,4.819064,11.041599,3.288731,10.359244,0.547413,0.027439,0.120271,7.415499,0.292499,2.917157,12.777885,5.318127,0.603479,0.163462,1.030513,0.077863,11.400729,5,3,5,5,3,1,1,1,1,1,0,0,2,4,4,2,1,3,1,4,40,60
1007,2990,EUR,MANAGEMENT (SENIOR),Contract Manufacturer,8.355459,7.104077,4.423746,7.766583,3.239555,10.894253,13.389611,12.713755,6.620971,2.208336,1.342362,0.070013,0.036617,13.340511,0.575639,0.085653,0.508502,0.010391,4.616653,2.697312,4,3,4,4,2,2,1,0,1,1,0,0,4,3,2,2,2,4,3,4,60,40
1008,1341,AMR,MANAGEMENT (SENIOR),Molder,13.302178,0.351353,2.164761,6.990569,6.751919,6.048828,13.113776,12.111112,7.881776,6.279557,4.987148,0.217612,0.245634,12.87177,3.091578,0.136084,0.181907,0.069306,1.350157,1.852976,3,3,5,3,1,3,1,1,1,1,0,0,5,2,4,3,1,4,3,2,20,80
1009,590,AMR,PURCHASING,Molder,2.463503,1.867906,1.723303,0.56693,12.780966,13.64517,10.763921,2.550784,6.363666,13.66493,0.922724,0.09793,0.25416,12.034181,3.668057,3.736053,10.575529,0.207301,0.020174,2.09281,2,4,4,3,2,3,1,1,0,0,0,0,3,2,2,2,3,2,3,2,50,50
1009,1200,AMR,MANAGEMENT (SENIOR),Contract Manufacturer,0.517307,0.150703,2.550902,12.142709,9.323907,7.108758,10.566146,4.675316,0.28368,11.663614,0.489208,9.097087,3.967821,10.100887,2.616527,0.092443,0.904875,0.220127,12.78709,0.740891,4,4,4,4,2,4,1,1,1,1,0,1,2,2,3,1,4,1,4,3,55,45
1009,1787,AMR,MANUFACTURING,Molder,1.067649,0.49204,0.0446,10.496313,9.730886,11.74833,13.111441,12.627939,5.043698,6.874993,0.111792,0.635851,0.026934,13.083839,0.666968,0.133783,1.012161,0.056921,12.747382,0.286481,4,4,4,4,2,2,1,1,1,1,0,0,1,3,2,3,3,2,3,3,75,25
1009,2227,AMR,SALES,Contract Manufacturer,0.59328,2.059129,1.322858,3.755023,2.696307,8.756407,12.779093,13.238869,0.051033,11.241865,0.308753,0.813385,1.710417,13.847824,5.361133,1.412401,1.404331,5.714624,12.923565,0.009703,1,4,4,4,4,4,1,1,1,1,1,1,4,2,3,2,3,1,4,3,40,60
1010,2242,AMR,PURCHASING,Molder,7.440917,6.629384,0.998343,4.774413,7.0422,11.101266,1.157378,3.845762,0.758109,2.590967,12.153368,11.759118,1.376833,12.913598,13.333512,0.199274,0.66242,0.032615,1.136179,0.094344,4,4,5,3,2,4,1,1,1,0,1,1,3,3,4,2,2,3,4,1,25,75
1011,926,PAC,ENGINEERING/DESIGN,Molder,6.953695,10.078236,10.976227,10.249238,2.032198,7.795035,13.706205,8.66111,5.321034,0.265406,4.697177,0.137182,0.989099,13.047642,0.902505,0.350259,0.369599,0.128942,1.680315,1.658895,4,3,4,4,4,4,1,0,0,0,0,0,2,2,4,2,4,4,4,3,80,20
1012,2930,PAC,ENGINEERING/DESIGN,Engineering,12.168203,12.149712,11.803088,3.492753,0.087802,0.052786,2.915874,0.135837,0.033912,2.555548,11.719478,10.494179,8.244688,7.7495,10.538363,0.682011,0.700741,1.222639,0.003267,3.24962,4,5,3,2,1,1,1,1,0,0,0,0,4,2,2,2,2,2,4,2,50,50
1012,2971,PAC,SALES,Molder,9.54867,10.764161,1.696485,1.130403,1.74066,10.854947,13.444939,13.315816,1.486649,9.289962,1.474916,0.145181,0.097322,13.042315,2.489981,4.594396,4.378094,0.190724,0.022519,0.29186,4,4,1,3,1,1,1,1,0,0,0,0,4,3,2,4,4,4,4,3,70,30
1013,2191,PAC,SALES,Distributor,10.494435,7.421857,7.679965,12.25173,3.668501,5.411739,9.995372,2.907163,0.190204,0.116101,4.728761,0.410974,12.202073,13.04492,3.678363,0.133278,1.370688,0.030266,4.123008,0.140603,4,4,4,4,4,4,0,1,1,1,0,0,4,2,2,2,4,4,4,2,50,50
1014,2951,PAC,ENGINEERING/DESIGN,Converter,11.899448,5.666726,12.543867,2.788963,0.395826,5.512063,11.912496,0.866066,2.710942,9.540834,8.055936,2.847023,0.945492,7.676079,10.726103,0.105664,0.062534,5.014569,0.018015,0.711356,4,4,3,3,3,2,1,0,0,0,0,0,2,2,3,4,3,2,3,1,60,40
1015,1300,EUR,PURCHASING,ODM,1.294435,7.355293,1.384233,12.432405,12.531534,12.93985,13.701384,8.770461,1.785634,1.495493,0.291427,0.015257,0.018245,13.603982,0.290527,0.714886,0.235141,1.593625,8.420726,1.125463,1,5,5,5,2,2,1,1,1,1,0,0,3,3,1,1,2,4,1,4,65,35
1016,2078,AMR,ENGINEERING/DESIGN,OEM,13.186743,13.111981,8.81372,1.51462,2.673922,6.424535,0.837006,0.317264,4.785413,2.72915,13.123945,0.234754,2.37195,13.906268,10.831193,3.764423,0.239989,0.130839,0.00771,0.994576,2,4,4,5,3,4,1,1,1,1,0,0,4,2,2,4,1,5,4,2,40,60
1017,2525,PAC,ENGINEERING/DESIGN,OEM,9.824306,2.683509,10.974588,1.952535,4.412401,3.580226,11.755395,1.426301,0.040278,13.132808,1.589979,8.307301,0.609785,9.071749,10.822426,1.027035,0.683797,0.442909,0.021919,7.640749,3,3,3,2,2,3,1,0,0,0,0,0,4,2,3,3,4,3,3,4,80,20
1017,3266,PAC,ENGINEERING/DESIGN,Engineering,11.277731,0.581758,12.04717,0.594647,0.139136,0.183007,6.942449,0.73853,0.452332,13.641344,10.3628,7.191578,3.898088,13.485051,6.418604,3.077604,2.876448,3.001975,0.083475,3.006272,5,4,2,4,4,2,1,1,0,1,1,0,4,2,3,4,3,3,4,2,40,60
1017,3450,PAC,ENGINEERING/DESIGN,OEM,3.63002,0.336142,8.285077,12.840193,0.802483,0.312121,13.11165,0.696787,0.011516,10.045917,8.909396,11.403824,9.042978,11.82821,1.995128,1.284372,0.641242,3.338366,0.022241,1.462335,2,5,3,4,3,3,1,1,0,0,0,0,3,5,3,5,4,4,5,3,65,35
1017,3505,PAC,ENGINEERING/DESIGN,Other,11.128743,4.004601,0.695925,2.539443,0.245318,2.320671,7.695586,0.287075,0.885869,13.412779,11.9254,12.328121,1.905651,12.384257,8.395875,2.216133,6.523487,0.311407,0.006767,0.78689,4,4,2,4,3,3,1,1,0,1,0,0,4,3,3,3,2,2,4,3,50,50
1018,1466,AMR,MANUFACTURING,Molder,4.009058,13.112545,1.729667,2.743366,11.763482,12.287112,9.207496,2.600373,7.499612,0.046241,0.729493,0.116176,0.116027,13.156787,4.195973,0.069669,3.484195,5.675137,7.240839,0.216753,4,4,3,4,2,2,1,1,1,1,0,0,4,5,4,2,3,2,4,1,50,50
1019,124,EUR,MANAGEMENT (SENIOR),Molder,14.28474,7.593213,4.436468,8.128262,0.570862,2.846079,13.771807,2.328327,8.051768,8.652394,4.109046,0.568972,0.053122,9.681227,3.475327,1.789292,0.290639,4.374394,2.672387,2.321672,3,2,4,4,3,3,0,0,1,1,0,0,4,3,3,2,4,4,3,3,70,30
1020,20,EUR,MANAGEMENT (SENIOR),Distributor,8.998763,7.269961,7.390945,13.131104,11.180582,7.99239,0.489887,12.408262,0.340407,1.839872,5.492633,1.010988,1.403421,8.001221,0.174356,0.403126,3.971829,0.056895,7.761366,0.681992,4,5,4,4,1,3,1,1,1,1,0,0,4,3,1,1,1,2,3,3,80,20
1020,221,EUR,SALES,Distributor,0.430051,2.271891,11.528306,13.805105,2.934504,7.656295,0.447186,8.147785,0.282104,1.46837,2.041734,2.690349,2.527582,12.19714,9.894235,1.030661,7.075984,1.638971,11.792407,0.139339,1,1,1,5,4,4,1,1,1,1,1,1,4,3,2,2,4,4,4,4,40,60
1020,793,EUR,SUPPLY CHAIN,Tier 1,11.201582,0.898852,5.523872,1.796253,0.980596,1.527688,0.642772,8.924447,0.225277,2.275386,3.878983,9.091161,8.705745,13.346139,6.934179,0.255541,1.288436,1.325876,8.552024,12.625188,2,3,5,4,4,3,1,0,1,1,0,0,4,2,3,4,3,4,4,2,20,80
1021,2318,PAC,PURCHASING,Tier 1,10.618343,0.75809,1.103538,15.016987,4.280582,2.928577,14.737091,1.751295,0.586507,8.471703,1.19988,0.427887,4.623709,14.359873,0.238792,5.281675,9.355277,0.312255,0.136996,3.810943,4,4,4,4,4,4,1,1,0,1,1,1,4,4,2,1,3,2,4,2,60,40
1022,1345,PAC,MANAGEMENT (SENIOR),OEM,3.004527,0.663125,0.323852,2.002474,11.235178,9.721507,5.271205,3.727805,0.360519,11.565761,2.240958,2.213185,0.145606,13.454865,11.588118,0.290716,9.209454,0.193126,12.164945,0.623075,1,5,5,5,3,4,1,1,1,1,0,1,4,1,3,4,2,4,4,2,60,40
1023,628,EUR,PURCHASING,Molder,12.382203,6.605632,11.929662,6.817828,1.698972,1.052139,12.572524,1.729529,0.105997,2.244571,11.117583,0.121938,0.134964,12.919352,10.620499,5.384416,0.115476,0.08907,0.22866,2.128983,1,3,5,5,2,2,1,0,1,1,0,0,2,2,2,2,2,1,2,1,50,50
1023,1328,EUR,MANUFACTURING,Molder,9.961674,7.897336,2.767696,12.221916,0.072989,0.055147,12.178026,1.888576,4.349276,8.696046,10.694044,4.177066,0.871223,9.779319,10.380314,3.087317,0.418425,0.057126,0.006688,0.439797,1,3,5,5,1,1,1,0,1,1,0,0,3,2,3,4,4,2,4,2,60,40
1024,2019,AMR,PURCHASING,Tier 1,12.859757,0.952141,10.627004,10.763509,3.272311,3.137133,5.277027,3.128428,2.596265,0.085986,5.643151,0.066258,0.436972,12.757047,5.096133,6.948008,4.30233,0.113767,9.92457,2.012204,2,4,4,4,4,3,1,1,0,0,0,0,4,4,3,3,4,3,3,2,40,60
1025,3850,AMR,PURCHASING,Tier 1,1.607517,5.867915,5.349547,9.429998,7.470374,2.764166,3.723006,8.132296,4.597969,0.137747,12.47465,3.522744,0.902072,14.229308,4.066994,0.156127,3.920077,0.045626,10.883409,0.718459,1,5,5,4,2,2,1,1,1,1,0,0,4,2,3,4,3,1,3,1,50,50
1026,3288,EUR,PURCHASING,OEM,2.145522,1.214116,0.327532,14.762664,10.679937,5.216861,14.84471,9.09623,1.284648,0.868289,1.013488,0.189593,9.667729,14.554753,5.047877,5.528652,1.171465,0.063196,2.225003,0.097735,4,4,1,4,2,2,1,1,0,1,0,0,3,2,4,1,2,1,3,3,60,40
1026,3405,EUR,ENGINEERING/DESIGN,OEM,12.18169,12.018813,8.565209,5.140894,0.800551,2.13075,3.94208,0.030992,11.656107,5.455432,9.186908,0.040626,2.985308,12.765897,8.391044,3.32798,1.107928,0.089006,0.023978,0.158806,1,4,5,4,3,2,1,0,1,1,1,0,5,2,3,3,2,2,5,2,70,30
1027,561,AMR,ENGINEERING/DESIGN,OEM,11.928403,6.451404,11.329388,1.91588,0.429639,0.9354,3.402709,0.376671,2.958064,1.621804,12.528854,4.3831,2.883482,11.74475,11.582877,0.860992,4.157604,0.08535,0.003806,10.419823,4,4,5,4,1,1,1,1,1,1,0,0,4,3,3,2,1,3,3,1,40,60
1028,3042,AMR,SALES,Converter,1.681909,6.788535,6.607277,0.526576,12.204747,13.195651,5.889569,3.320223,0.423282,11.711972,1.311669,9.542555,4.172955,13.827009,1.082114,0.089028,0.051346,0.739206,6.559788,0.274588,4,4,3,4,3,4,1,1,1,1,0,1,5,2,1,1,2,2,4,2,60,40
1029,1783,AMR,MANAGEMENT (SENIOR),Molder,0.643729,1.258215,2.58501,13.280667,6.80278,9.528835,13.600232,5.055918,8.125145,1.134893,3.057156,13.351983,0.856296,11.662138,2.076545,0.074293,0.144388,0.802108,5.948323,0.011347,5,5,4,5,3,2,1,1,1,1,0,0,4,4,5,4,3,4,2,4,50,50
1030,2607,PAC,PURCHASING,Molder,0.865308,3.474975,0.551201,3.934248,12.72842,13.800601,3.265634,11.540433,0.405972,0.050818,1.199865,3.951367,11.523543,7.227766,0.226135,0.294522,0.758762,1.044508,14.080325,9.075597,1,5,3,4,4,2,1,1,0,1,0,1,4,3,2,2,4,2,3,2,30,70
1031,645,AMR,MANAGEMENT (SENIOR),OEM,10.163522,3.087451,12.841634,0.956938,0.110765,1.097122,6.828168,1.359429,8.801532,5.995879,13.224811,13.106614,1.977405,10.259764,8.704554,0.323196,0.506665,0.079711,0.059937,0.514902,4,4,4,4,4,2,1,1,1,1,1,0,2,3,2,2,2,3,3,2,50,50
1032,3098,AMR,PURCHASING,Molder,4.186292,6.354036,3.580311,13.647748,3.202933,9.659489,13.697406,0.840189,0.928595,9.554859,3.199882,0.257324,1.691008,13.758674,11.426542,0.104057,3.393372,0.37642,0.12569,0.015173,5,5,5,4,4,3,1,1,1,1,0,0,2,2,1,1,2,2,3,2,50,50
1033,1859,AMR,ENGINEERING/DESIGN,Molder,11.43923,10.944823,11.171856,7.736494,10.288044,5.639699,5.98736,9.094546,2.651632,3.556331,5.460577,0.008563,0.104362,11.583332,2.509064,0.077617,0.667207,0.601584,0.033433,0.444244,2,4,4,4,3,2,1,1,1,1,1,1,3,1,3,2,4,2,4,1,50,50
1034,668,AMR,SUPPLY CHAIN,OEM,5.851947,3.383168,1.391749,15.147484,0.510706,5.423924,15.22915,6.56425,2.160773,5.753389,6.196725,0.157519,0.111118,14.170008,0.397023,5.042011,4.500258,0.380382,7.455068,0.173347,4,4,5,4,2,2,1,1,1,1,0,0,2,4,2,1,4,4,4,1,50,50
1034,2797,PAC,ENGINEERING/DESIGN,Other,8.641674,10.482713,7.610324,8.188787,0.543836,0.092564,4.556989,3.088997,0.030965,0.811583,11.486703,1.877473,12.233407,13.246314,5.442524,8.449034,0.611247,1.917987,0.480106,0.206773,2,4,4,4,4,4,1,1,0,1,0,0,4,3,2,2,2,2,4,2,50,50
1035,129,AMR,SALES,Molder,2.108288,4.174919,1.006198,0.91768,6.413319,4.133484,12.339578,8.229677,0.325616,12.078198,0.434106,2.947236,0.029732,11.454918,2.129062,0.049743,11.730213,0.277284,12.15723,7.06352,5,5,5,5,3,1,1,1,1,1,0,0,5,1,2,1,3,1,4,2,50,50
1035,1474,AMR,PURCHASING,Molder,0.417134,0.163546,1.031522,10.473049,13.223063,13.061487,12.582356,7.99829,0.363557,11.747444,0.999896,0.343367,0.367718,12.892906,6.887012,0.07946,0.518903,1.269932,5.378884,0.200473,3,4,4,4,3,3,1,1,0,0,0,0,4,1,2,3,1,2,3,3,50,50
1036,407,AMR,MANAGEMENT (SENIOR),Distributor,1.081111,3.15657,8.135851,11.407356,0.127577,0.15852,6.458132,1.72037,0.059283,1.917198,12.186836,13.289309,13.072344,9.344017,10.419527,2.85542,0.178105,3.3578,1.013993,0.06068,4,4,4,4,1,1,1,1,1,1,0,0,4,3,4,4,3,4,4,1,75,25
1036,1640,AMR,MANAGEMENT (SENIOR),Distributor,0.443381,0.184331,2.181763,6.338719,10.640401,5.977828,13.485254,1.440233,0.01743,10.456567,1.232372,10.576922,1.495583,13.025516,0.480233,3.301312,0.104486,1.083412,11.846605,5.687651,2,4,4,4,2,2,1,1,1,1,0,0,4,2,2,2,4,2,2,1,65,35
1036,1814,AMR,SALES,Distributor,3.737335,0.451201,2.587221,7.235067,3.417035,5.079508,14.328942,13.776429,0.958756,10.77289,1.849102,3.879993,8.224508,14.307609,0.949992,0.266663,7.615236,0.144646,0.317713,0.100153,1,5,1,5,1,1,1,1,0,1,0,0,5,1,1,1,1,1,4,1,50,50
1036,1824,AMR,MANAGEMENT (SENIOR),Distributor,0.804186,2.480067,4.854461,4.969387,6.472285,10.969054,12.667272,0.911991,0.129573,10.103395,8.507572,11.491313,0.562304,12.984994,4.471817,0.041427,0.710424,0.723021,5.006771,1.138686,,,,,,,,,,,,,,,,,,,,,,
1037,1878,PAC,MANAGEMENT (SENIOR),Molder,12.149875,9.363147,10.320273,11.517463,0.7409,2.831948,3.140865,0.891618,11.22035,2.686167,8.054132,3.19485,3.226029,12.496832,6.238461,0.276621,0.161526,0.469573,0.008739,1.010631,4,5,5,4,4,4,0,0,1,1,0,0,2,4,4,2,1,4,3,2,50,50
1038,600,EUR,ENGINEERING/DESIGN,OEM,8.59827,11.936953,6.597769,7.221515,0.246203,0.410078,2.694663,3.515978,0.391851,11.684017,10.733272,2.343455,11.153039,11.525157,7.555437,2.257918,0.081116,0.933001,0.061352,0.058954,4,4,3,4,2,2,1,1,0,0,0,0,4,2,3,1,2,2,4,1,50,50
1039,2595,PAC,PURCHASING,Tier 1,5.099173,0.791888,5.360118,13.109622,7.66749,1.322137,9.443256,2.224805,1.097313,8.550086,11.450544,3.214222,0.121995,6.163645,2.018616,0.08977,0.29245,0.053679,9.994399,11.934793,2,5,5,5,4,2,1,1,1,1,1,0,2,2,2,1,4,2,4,1,70,30
1039,3666,PAC,ENGINEERING/DESIGN,ODM,12.201597,5.905196,6.526764,6.286349,1.030042,5.986806,10.456427,10.909712,4.279909,2.887402,11.672942,0.100869,0.46549,12.679255,5.792357,0.924129,1.779026,0.062421,0.043912,0.009394,1,5,4,5,1,1,1,1,1,1,0,0,4,2,2,2,2,2,5,2,50,50
